,precio,descripcion
0,"$ 12,900",895. HYUNDAI i20
1,"$ 8,700",Subaru Forester 2007
2,"$ 8,200",Venta por ocasión Volskwagen Voyage
3,"S/. 3,200",Vendo Nissan Sunny
4,"S/. 6,800",Toyota corona
5,"$ 12,800",Kia sportage full equipo
6,"$ 15,800",De Ocasión New Glory 580
7,"$ 9,700",NISSAN TIIDA 2016 MECANICO MOTOR 1.6
8,"$ 13,850",NUEVO NISSAN VERSA I Autoland
9,"$ 26,350",NISSAN URVAN CARGO I Autoland
10,"$ 22,990",ALL-NEW MAZDA CX-30 I Autoland
11,"$ 39,990",KIA MOHAVE I Autoland
12,"$ 11,490",HYUNDAI ELANTRA 1.6 AT FULL AÑO 2013
13,"$ 15,490",Onix Sedan Automatico Premier
14,"$ 23,500",TOYOTA RAV4
15,"$ 14,900",nissan pafhfinder 2008 4x4 automatico
16,"$ 7,300",Toyota Yaris 2008 Full automático
17,"$ 7,990",Chevrolet prisma NO Nissan Sentra marchCruze Toyota Yaris Corolla corona Etios Hyundai accent elantra i10 Kia cerato rio
18,"$ 19,000",NISSAN ROJO - 2017
19,"$ 11,000",Toyota yaris hatchback
20,"$ 16,400",1567.VOLVO V40 2015
21,"$ 10,700",1216. RENAULT FLUENCE
22,"$ 13,800",Hyundai New Elantra Año 2017
23,"$ 8,500",1468. NISSAN TIIDA
24,"$ 13,800",ford Expedition Eddie Bauer
25,"$ 14,990",RENAULT DUSTER DYNAMIQUE
26,"$ 8,500",Toyota Probox 2008 SW
27,"S/. 29,200","Vendo kia picanto, ubicado en la molina"
28,"$ 17,200",KIA SORENTO 2014 TECHO PANORAMICO FULL
29,"$ 34,900",MAZDA CX-9 2018/19 FULL AWD 4X4
30,"$ 14,900",NISSAN PATHFINDER 2008 4X4 CAJA SECUENCIAL
31,"S/. 14,600",NISSAN FIERA año 1985
32,"$ 10,490",PEUGEOT 301 ACTIVE 1.3 MT
33,"$ 7,800",Nissan AD 2007
34,"$ 10,500",Camion Tking 3tn 2015 turbo intercooler
35,"$ 8,900",Nissan Tiida 2016 Full
36,"S/. 4,500",Vendo mi moto italika
37,"$ 17,490",KIA CERATO LX FULL 1.6 AT AÑO 2020 CERO KM ENTREGA INMEDIATA
38,"$ 12,500",KAMIKAZE PERU VENDE: TOYOTA ETIOS 2021
39,"$ 7,500",Chevrolet Sail 2015 Setame 23
40,"$ 12,900",TOYOTA COROLLA GLI 2014 MT 1.8
41,"$ 33,500",Mitsubishi Montero Sport 2017 full
42,"$ 12,700",KIA CERATO 1.6 HB 2014 AT.
43,$ 100,TOYOTA RAV4 MT 2015 / JC UGARTE
44,"$ 15,900",subaru outback 2014 /15 AT 4X4
45,"$ 24,900",kia sorento 2015 motor 3.3cc v6
46,"S/. 16,000",HONDA ACCORD 1995 EX - NEGRO AUTOMÁTICO
47,"$ 12,500",SSANGYONG REXTON MODELO 2013 año 2012. MOTOR 2.7 turbo interculer
48,"$ 7,800",Se vende camioneta
49,"$ 22,900",BMW 520i 2016
50,"$ 33,990",FORD EXPLORER XLT 4X4 2017
51,"$ 11,800",Toyota Rav4 2008 Vx sunroof aut
52,"$ 18,490",MG ZX 1.5 MT
53,"$ 13,900",Kia Sportage 2012
54,"$ 13,800",Toyota Corolla 2016 Full equipo
55,"$ 6,800",Chevrolet Sail 2013 Impecable!
56,"$ 19,490",MG ZX 1.5 AT MODELO 2021
57,"$ 25,990",FORD ESCAPE SE 2020
58,"$ 18,990",MG NEW 5 1.5T CVT SPORT MODELO 2021
59,"S/. 10,000",Bendo mi auto toyota corolla 87
